Medication,"Contraindications (CI), drug interactions (DI) or cautions",Adverse Effects,Initial dose; typical dose,Canadian brands,Therapeutic area,Source of suggestion,Evidence package,Decision date
abacavir,,"fat redistribution, immune reconstitution syndrome, lactic acidosis, hepatomegaly, fatigue, malaise, nausea",300 mg twice daily or 600 mg once daily in combination with other antiretroviral agents,Ziagen,anti-infective medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Abacavir_C.docx,"Added on June, 2016"
acetaminophen,,"nausea, vomiting, acute liver failure, fatal skin reactions including Stevens-Johnson syndrome and toxic epidermal necrolysis ",325-650mg three or four times a day,"Abenol,Apo-Acetaminophen,Atasol,Novo-Gesic,Pediatrix,Tempra,Tylenol",medicines for pain and palliative care,WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
acetylsalicylic acid,,"upper gastrointestinal bleeding, tinnitus",81mg daily,"Asaphen,Entrophen,Novasen,Praxis",medicines for pain and palliative care,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/09/Acetylsalicylic-acid_C-1.docx,"Added on August, 2015"
adalimumab,,"headache, skin rash, upper respiatory tract infection, sinusitis, tuberculosis, malignancy",indication-specific dosing (rheumatoid arthritis: 40 mg every other week subcutaneously; inflammatory bowel disease: 160 mg given as four 40 mg injections on day 1 or given as two 40 mg injections per day over 2 consecutive days),,,Commonly prescribed medication,http://cleanmeds.ca/wp-content/uploads/2016/08/Adalimumab_AU.docx,"Added on August, 2016"
alendronate,"CI: esophagus abnormalities hypocalcemia, pregnancy and breast feeding, renal dysfunction (CrCl: 35mL/min) DI: reduced absorption with food/medication intake","esophagitis, hypocalcemia, osteonecrosis of the jaw, atypical femur fracture",prevention: 5 mg once daily; treatment: 10 mg once daily,"ACH-Alendronate,Alendronate-70,Alendronate-FC,Apo-Alendronate,Auro-Alendronate,CO Alendronate,Dom-Alendronate,Fosamax,JAMP-Alendronate,Mint-Alendronate,Mylan-Alendronate,PHL-Alendronate,PMS-Alendronate,PMS-Alendronate-FC,Q-Alendronate,Ran-Alendronate,ratio-Alendronate,Riva-Alendronate,Sandoz-Alendronate,Teva-Alendronate","hormones, other endocrine medicines, and contraceptives",Canadian clinical practice guidelines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"added on August, 2015"
allopurinol,,"skin rash, acute gout attacks, rash, diarrhea, nausea","100 mg once daily; usual dosage: 200 to 300 mg/day in mild gout,  400 to 600 mg/day in moderate to severe gout","Alloprin,Apo-Allopurinol,JAMP-Allopurinol,Mar-Allopurinol,Novo-Purol,Zyloprim",medicines for diseases of joints,WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
amiodarone,"CI: severe sinus-node dysfunction causing marked sinus bradycardia, second- and third-degree heart block  DI:antiarrhythmic Agents (Class Ia),azithromycin, beta-blockers, calcium channel blockers, cardiac glycosides, fosphenytoin, HMG-CoA reductase inhibitors, warfarin","nausea, vomiting, malaise, visual disturbances, hypotension, bradycardia, ataxia, dizziness, involuntary movement","600 to 800 mg daily in divided doses, then 200 mg daily as maintenance",,,Commonly prescribed medication,http://cleanmeds.ca/wp-content/uploads/2016/08/Amiodarone_AU.docx,"Added on August, 2016"
amlodipine,,"peripheral edema, hypotension, dizziness, palpitations, lightheadedness, flushing",5 mg once daily or 2.5 mg once daily in small or frail patients,"Accel-Amlodipine,ACT-Amlodipine,Amlodipine-Odan,Apo-Amlodipine,Auro-Amlodipine,Bio-Amlodipine,Dom-Amlodipine,GD-Amlodipine,JAMP-Amlodipine,Mar-Amlodipine,Mint-Amlodipine,Mylan-Amlodipine,Norvasc,PHL-Amlodipine,PMS-Amlodipine,Q-Amlodipine,RAN-Amlodipine,ratio-Amlodipine,Riva-Amlodipine,Sandoz Amlodipine,Septa-Amlodipine,Teva-Amlodipine",cardiovascular medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
amoxicillin,"DI: anticoagulants, macrolides, tetracyclines, sulfonamides, oral contraceptives, methotrexate","nausea, vomiting, skin rash, clostridium difficile-associated diarrhea",indication-specific dosing (usual oral dosing range for mild to moderate infection: 250 every 8 hours or 500 mg every 12 hours),"Apo-Amoxi,Mylan-Amoxicillin,Novamoxin,NTP-Amoxicillin,Nu-Amoxi,PHL-Amoxicillin,PMS-Amoxicillin,Pro-Amox-250,Pro-Amox-500",anti-infective medicines,WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
amoxicillin/clavulanic acid,"CI: penicillin/cephalosporin allergy, severe renal impairment, history of jaundice associated with use DI: anticoagulants, macrolides, tetracyclines, sulfonamides, oral contraceptives, methotrexate"," nausea, vomiting, skin rash, clostridium difficile-associated diarrhea",indication-specific dosing (usual oral dosing range: 250 mg every 8 hours or 500 mg every 8 to 12 hours),"Amoxi-Clav,Apo-Amoxi-Clav,Clavulin,Novo-Clavamoxin,ratio-Aclavulanate",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
atomoxetine,,"abdominal pain, nausea, vomiting, fatigue, decreased appetite, somnolence, headache, dry mouth, dizziness, insomnia, constipation, urinary hesitation, erectile dysfunction, irritability, weight loss, hyperhidrosis","40 mg/day, increased after minimum of 3 days to ~80 mg/day","Apo-Atomoxetine,DOM-Atomoxetine,Mylan-Atomoxetine,PMS-Atomoxetine,RIVA-Atomoxetine,Sandoz-Atomoxetine,Strattera,Teva-Atomoxetine",medicines for mental and behavioural disorders,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Atomoxetine_C.docx,"Added on August, 2015"
atorvastatin,,"diarrhea, arthralgia, nasopharyngitis, increased serum transaminases, myopathy, rhabdomyolysis",10 to 80 mg once daily (doses should be individualized according to the baseline LDL-cholesterol concentrations),"ACT Atorvastatin,Apo-Atorvastatin,Auro-Atorvastatin,Ava-Atorvastatin,Dom-Atorvastatin,GD-Atorvastatin,JAMP-Atorvastatin,Lipitor,Mylan-Atorvastatin,Novo-Atorvastatin,PMS-Atorvastatin,RAN-Atorvastatin,ratio-Atorvastatin,Reedy-Atorvastatin,Riva-Atorvastatin,Sandoz-Atorvastatin",cardiovascular medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Atorvastatin_C.docx,"Added on August, 2015"
azathioprine,,"malaise, nausea, vomiting, leukopenia, neolasia, thrombocytoenia, hepatotoxicity, increased susceptibility to infection, myalgia, fever",indication-specific dosing (usual initial dose for patients with rheumatoid arthritis: 50 to 100 mg once daily),,,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2016"
azithromycin,,"diarrhea, nausea, vomiting, abdominal pain, hearing impairment, flatulence, headache, abnormal vision",indication-specific dosing (usual oral dosing range: 500 to 1000mg one time a day),"ACT-Azithromycin,Apo-Azithromycin,Apo-Azithromycin Z,Azithromycin for Injection,Azithromycin for Injection, USP,Dom-Azithromycin,GD-Azithromycin,Mylan-Azithromycin,Novo-Azithromycin,PHL-Azithromycin,PMS-Azithromycin,PRO-Azithromycine,Riva-Azithromycin,Sandoz-Azithromycin,Zithromax,Zithromax For Intravenous Injection,Zmax SR",anti-infective medicines,WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
baclofen,CI: hypersensitivity DI: other central nervous system depressants,"drowsiness, dizziness, weakness, fatigue, confusion, headache, insomnia, hypotension, nausea, constipation, urinary frequency",5mg 3 times daily; may increase gradually to maximum dose of 20mg three times daily,"Apo-Baclofen,Dom-Baclofen,Lioresal,Lioresal D.S.,Lioresal Intrathecal,Mylan-Baclofen,Novo-Baclofen,PHL-Baclofen,PMS-Baclofen,ratio-Baclofen,Riva-Baclofen,VPI-Baclofen Intrathecal",medicines for pain and palliative care,Commonly prescribed medication,http://cleanmeds.ca/wp-content/uploads/2016/08/Baclofen_CA.docx,"Added on March, 2016"
beclomethasone,,"lethargy, cough, epistaxis, nasal drying/crusting, sneezing, runny nose, stinging, sore throat",2 sprays (50 g/spray) in each nostril twice daily,"Apo-Beclomethasone,Mylan-Beclo AQ,Rivanase AQ",medicines acting on the respiratory tract,WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
benzoyl peroxide,,"skin irritation, redness, burning, itching, peeling, swelling","Apply once daily, may increase to 2-3 times daily if needed","Acetoxyl,Benoxyl,Benzac AC,Benzac W Gel,Benzac W Wash,Desquam-X,Oxyderm,PanOxyl,Solugel",dermatological (topical),Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Benzoyl Peroxide_C.docx,"Added on August, 2015"
