"","Medication","Contraindications (CI), drug interactions (DI) or cautions","Adverse Effects","Initial dose; typical dose","Canadian brands","Therapeutic area","Source of suggestion","Evidence package","Decision date","estimate","standard-error","tvalue","pvalue","r_sq","adj_r_sq","ATC code primary","ATC code secondary","sum","maf"
"1","abacavir","","fat redistribution, immune reconstitution syndrome, lactic acidosis, hepatomegaly, fatigue, malaise, nausea","300 mg twice daily or 600 mg once daily in combination with other antiretroviral agents","Ziagen","anti-infective medicines","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Abacavir_C.docx","Added on June, 2016",-0.0788868583572706,1.63800136819712,-0.0481604349598914,0.961667134104098,0.84093913182152,0.835724021389439,"J05AF06","",99,0.722627737226277
"2","acetylsalicylic acid","","upper gastrointestinal bleeding, tinnitus","81mg daily","Asaphen,Entrophen,Novasen,Praxis","medicines for pain and palliative care","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/09/Acetylsalicylic-acid_C-1.docx","Added on August, 2015",-6.84681787239215,3.31219187660945,-2.06715616952752,0.0408343909099914,0.846318895108543,0.841280170358003,"B01AC06","N02BA01",131,0.956204379562044
"3","adalimumab","","headache, skin rash, upper respiatory tract infection, sinusitis, tuberculosis, malignancy","indication-specific dosing (rheumatoid arthritis: 40 mg every other week subcutaneously; inflammatory bowel disease: 160 mg given as four 40 mg injections on day 1 or given as two 40 mg injections per day over 2 consecutive days)","","","Commonly prescribed medication","http://cleanmeds.ca/wp-content/uploads/2016/08/Adalimumab_AU.docx","Added on August, 2016",2.24603450977887,2.33080579440353,0.96363005239295,0.337137597708677,0.84213765103593,0.836961836315797,"L04AB04","",19,0.138686131386861
"4","allopurinol","","skin rash, acute gout attacks, rash, diarrhea, nausea","100 mg once daily; usual dosage: 200 to 300 mg/day in mild gout,  400 to 600 mg/day in moderate to severe gout","Alloprin,Apo-Allopurinol,JAMP-Allopurinol,Mar-Allopurinol,Novo-Purol,Zyloprim","medicines for diseases of joints","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",2.26718024592551,3.59662813788941,0.630362706125062,0.529636275372744,0.841452501090141,0.836254222437359,"M04AA01","",131,0.956204379562044
"5","amiodarone","CI: severe sinus-node dysfunction causing marked sinus bradycardia, second- and third-degree heart block  DI:antiarrhythmic Agents (Class Ia),azithromycin, beta-blockers, calcium channel blockers, cardiac glycosides, fosphenytoin, HMG-CoA reductase inhibitors, warfarin","nausea, vomiting, malaise, visual disturbances, hypotension, bradycardia, ataxia, dizziness, involuntary movement","600 to 800 mg daily in divided doses, then 200 mg daily as maintenance","","","Commonly prescribed medication","http://cleanmeds.ca/wp-content/uploads/2016/08/Amiodarone_AU.docx","Added on August, 2016",2.18212241683836,2.05791459034918,1.06035616204466,0.29107731047416,0.842388658052921,0.837221073071049,"C01BD01","",118,0.861313868613139
"6","amlodipine","","peripheral edema, hypotension, dizziness, palpitations, lightheadedness, flushing","5 mg once daily or 2.5 mg once daily in small or frail patients","Accel-Amlodipine,ACT-Amlodipine,Amlodipine-Odan,Apo-Amlodipine,Auro-Amlodipine,Bio-Amlodipine,Dom-Amlodipine,GD-Amlodipine,JAMP-Amlodipine,Mar-Amlodipine,Mint-Amlodipine,Mylan-Amlodipine,Norvasc,PHL-Amlodipine,PMS-Amlodipine,Q-Amlodipine,RAN-Amlodipine,ratio-Amlodipine,Riva-Amlodipine,Sandoz Amlodipine,Septa-Amlodipine,Teva-Amlodipine","cardiovascular medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",2.24821172503845,1.91791405082607,1.17221714084117,0.243393843591561,0.842707700035947,0.837550575446962,"C08CA01","",109,0.795620437956204
"7","amoxicillin","DI: anticoagulants, macrolides, tetracyclines, sulfonamides, oral contraceptives, methotrexate","nausea, vomiting, skin rash, clostridium difficile-associated diarrhea","indication-specific dosing (usual oral dosing range for mild to moderate infection: 250 every 8 hours or 500 mg every 12 hours)","Apo-Amoxi,Mylan-Amoxicillin,Novamoxin,NTP-Amoxicillin,Nu-Amoxi,PHL-Amoxicillin,PMS-Amoxicillin,Pro-Amox-250,Pro-Amox-500","anti-infective medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",14.5434896963448,0.906008628440312,16.052264007001,5.81114088031618e-32,0.840936107803888,0.837056500677154,"J01CA04","J01CR02",137,1
"8","atomoxetine","","abdominal pain, nausea, vomiting, fatigue, decreased appetite, somnolence, headache, dry mouth, dizziness, insomnia, constipation, urinary hesitation, erectile dysfunction, irritability, weight loss, hyperhidrosis","40 mg/day, increased after minimum of 3 days to ~80 mg/day","Apo-Atomoxetine,DOM-Atomoxetine,Mylan-Atomoxetine,PMS-Atomoxetine,RIVA-Atomoxetine,Sandoz-Atomoxetine,Strattera,Teva-Atomoxetine","medicines for mental and behavioural disorders","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Atomoxetine_C.docx","Added on August, 2015",2.42377040637652,2.33796333801713,1.03670163127201,0.301925377631674,0.842325133262561,0.837155465500678,"N06BA09","",16,0.116788321167883
"9","atorvastatin","","diarrhea, arthralgia, nasopharyngitis, increased serum transaminases, myopathy, rhabdomyolysis","10 to 80 mg once daily (doses should be individualized according to the baseline LDL-cholesterol concentrations)","ACT Atorvastatin,Apo-Atorvastatin,Auro-Atorvastatin,Ava-Atorvastatin,Dom-Atorvastatin,GD-Atorvastatin,JAMP-Atorvastatin,Lipitor,Mylan-Atorvastatin,Novo-Atorvastatin,PMS-Atorvastatin,RAN-Atorvastatin,ratio-Atorvastatin,Reedy-Atorvastatin,Riva-Atorvastatin,Sandoz-Atorvastatin","cardiovascular medicines","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Atorvastatin_C.docx","Added on August, 2015",1.1505636640701,1.64517023619748,0.699358424286485,0.485659313858452,0.841571254107574,0.836376868996347,"C10AA05","",71,0.518248175182482
"10","azathioprine","","malaise, nausea, vomiting, leukopenia, neolasia, thrombocytoenia, hepatotoxicity, increased susceptibility to infection, myalgia, fever","indication-specific dosing (usual initial dose for patients with rheumatoid arthritis: 50 to 100 mg once daily)","","","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2016",3.77384573077547,1.83332872279039,2.05846648441288,0.0416745463779745,0.846275250924982,0.841235095217604,"L04AX01","",107,0.781021897810219
