"","drug.names","estimate","standard-error","tvalue","pvalue","r_sq","adj_r_sq","ATC code primary","ATC code secondary","sum","maf"
"380","Choline",1.40304788663156,3.09666941246316,0.453082877037089,0.651293845627408,0.841203308090313,0.835996859175241,"","",8,0.0583941605839416
"850","Gingko biloba (Ginkgo biloba)",3.96421010778445,3.12226438296217,1.26965869047371,0.206622739782578,0.843010471172728,0.83786327350626,"","",7,0.0510948905109489
"901","Hesperidin",1.65891995425791,2.63894703682942,0.628629499230509,0.530766820359629,0.841449674462856,0.836251303133769,"","",11,0.0802919708029197
"942","Ichthammol",-0.750445599548964,2.41174723308863,-0.311162624860938,0.756208044222931,0.841062244687595,0.835851170742926,"","",13,0.0948905109489051
"185","Benzoin compound",-3.81597682557655,2.06764347854037,-1.84556809004152,0.0673794888244135,0.845256398936451,0.840182838245842,"A01","",20,0.145985401459854
"1221","Miconazole",1.35030822551709,1.61384959513516,0.836700166847951,0.404397034084276,0.841843649350534,0.836658195230879,"A01AB09","D01AC",103,0.751824817518248
"908","Hexetidine",2.03673499484433,2.30716300854766,0.882787643221811,0.379087177701478,0.841945730008832,0.836763622796007,"A01AB12","G01AX16",13,0.0948905109489051
"56","Aluminium",-0.129364848949866,1.4644474770159,-0.0883369673410703,0.929753699250423,0.840946281270592,0.835731405246677,"A02AB01","",87,0.635036496350365
"397","Cimetidine",-0.928588165138599,1.61251170183426,-0.57586445052294,0.565767558747426,0.841367302507059,0.83616623045811,"A02BA01","",38,0.277372262773723
"1630","Ranitidine",1.48959858997407,2.40430735254137,0.619554146602576,0.536706711603683,0.84143499922892,0.836236146744622,"A02BA02","",125,0.912408759124088
"747","Famotidine",6.61521282075985,1.62314972551873,4.07554073216859,8.20922620518533e-05,0.85999718395862,0.855406927694969,"A02BA03","",34,0.248175182481752
"1587","Prostaglandin",-0.262417482396233,2.31697339150962,-0.113258738040689,0.91001158981644,0.840952830625234,0.835738169334258,"A02BB","",16,0.116788321167883
"1236","Misoprostol",-2.03026739360708,1.46685152628163,-1.38409877021001,0.168854962926954,0.843395225602138,0.838260642834995,"A02BB01","G02AD06",86,0.627737226277372
"1360","Omeprazole",2.03668444856984,2.7256819163905,0.747220149322092,0.456368410416898,0.841660753790601,0.836469303095211,"A02BC01","",127,0.927007299270073
"1408","Pantoprazole",4.55310759766238,1.75982732438722,2.58724679095877,0.0108475232814266,0.849209612910625,0.844265665792941,"A02BC02","",32,0.233576642335766
"1027","Lansoprazole",1.94772799588541,1.72165360069938,1.13131235870805,0.260142569140274,0.842587478252709,0.837426411965912,"A02BC03","",31,0.226277372262774
"1620","Rabeprazole",-1.06005115672429,2.80074129816204,-0.378489493985017,0.705724814770584,0.841122664042257,0.835913571060035,"A02BC04","",10,0.072992700729927
"693","Esomeprazole",1.01302131789255,1.73153661526991,0.585041811394007,0.559600098108824,0.841381116878341,0.836180497759598,"A02BC05","",35,0.255474452554745
"1772","Sucralfate",-0.973461274370774,1.76404038607948,-0.551836160925011,0.582070033579929,0.841332157238676,0.836129932885846,"A02BX02","",30,0.218978102189781
"214","Bismuth",-2.21866587338799,1.5476532200697,-1.43356783329541,0.15425352859364,0.843571185461496,0.83844237187007,"A02BX05","",42,0.306569343065693
"1122","Mebeverine",0.416773306866577,1.89925845754191,0.219440016292454,0.826674024921378,0.840998866230075,0.835785714303192,"A03AA04","",27,0.197080291970803
"1949","Trimebutine",-3.15676482355922,2.7324152284637,-1.15530201657312,0.250224460448408,0.842657489997036,0.837498719177267,"A03AA05","",11,0.0802919708029197
"564","Dicycloverine",-2.98801066804939,2.71946790872711,-1.09874827294726,0.274041490784097,0.842494697352737,0.83733058906922,"A03AA07","",10,0.072992700729927
"868","Glycopyrrolate (Glycopyrronium)",-6.19785708952128,2.16112323296735,-2.86788693720684,0.00487019295483398,0.850982312883924,0.846096487076839,"A03AB02","R03BB06",14,0.102189781021898
"1575","Propantheline bromide",-6.11937505008989,2.82545957074792,-2.16579812836255,0.0322720146789718,0.846825396997342,0.841803278866108,"A03AB05","",10,0.072992700729927
"1892","Tiemonium",-1.69746283239728,3.08618976199512,-0.550018943520806,0.583311944573297,0.841329559563261,0.836127250040746,"A03AB17","",9,0.0656934306569343
"1411","Papaverine",3.59216653280405,2.19493143560806,1.6365734594388,0.104296759984389,0.844353159016073,0.839249983901846,"A03AD","",17,0.124087591240876
"636","Drotaverine",3.56644186316317,1.99356815651048,1.78897413239476,0.0761004027490759,0.845002169012249,0.83992027291429,"A03AD02","",20,0.145985401459854
"1723","Simethicone",-2.13867478814122,1.84579199356358,-1.15867594810192,0.248851299112865,0.84266744929453,0.837509005009105,"A03AX","",28,0.204379562043796
"1493","Pinaverium",-1.33893707881394,3.40342351342513,-0.393408893583879,0.694704163937665,0.841137642358528,0.835929040468643,"A03AX04","",7,0.0510948905109489
"1482","Phloroglucinol",-1.85188540995275,2.23570331607834,-0.828323416901824,0.409104872532729,0.841825669455772,0.836639625831371,"A03AX12","",18,0.131386861313869
"142","Atropine",-3.10848648210424,2.76735696697756,-1.12326906835559,0.263528779971339,0.842564319739337,0.83740249415702,"A03BA01","",127,0.927007299270073
